name;seedUsage;harvest;windrow
wheat;0.308;8.9;36.8;2999;4
barley;0.265;9.6;36.8;3005;4
canola;0.049;5.8;;3497;4
oat;0.34;5.7;36.8;3032;4
maize;0.053;9.2;;3496;7.8
sunflower;0.143;5.2;;3500;6
soybean;0.214;4.5;;3501;4
potato;3.733;41.3;;9169;
rice;0.15625;6.6;;7260;
ricelonggrain;0.5;9;;4770;
sugarbeet;0.034;57.8;;9942;
sugarcane;12;113.4;;13495;
cotton;0.05;4.97;;6222;
sorghum;0.035;8.2;;3526;4
grape;;18.4;;11095;
olive;;18.4;;11095;
poplar;1.5;66.27;;2651;
beetroot;0.04;57.8;;7052;
carrot;0.01;77;;10164;
parsnip;0.01;69.5;;9104;
greenbean;0.28;6.975;;5022;
pea;0.25;9.6;;9984;
spinach;0.01;23.1;;5082;
grass;0.12;43.7;;1966;
oilseedradish;0.04;9.9;;2475;
