name;price;showOnPriceTable
wheat;337;true
barley;313;true
oat;532;true
canola;603;true
sorghum;430;true
sunflower;673;true
soybean;778;true
maize;380;true
potato;222;true
sugarbeet;172;true
beetroot;122;true
carrot;132;true
parsnip;131;true
cotton;1252;true
ricelonggrain;530;true
rice;1100;true
greenbean;720;true
pea;1040;true
spinach;220;true
sugarcane;119;true
wood;1000;true
woodchips;320;true
sugarbeet_cut;222;true
silage;121;true
grass;45;
grass_windrow;45;true
drygrass;48;
drygrass_windrow;56;true
straw;41;true
wheat_cut;41;
barley_cut;41;
oat_cut;41;
canola_cut;41;
soybean_cut;41;
grape;603;true
olive;603;true
milk;700;true
goatmilk;2820;true
buffalomilk;3500;true
wool;940;true
egg;1120;true
liquidseedtreatment;700;
honey;1000;true
lettuce;990;true
tomato;500;true
strawberry;450;true
spring_onion;450;true
napacabbage;350;true
chilli;450;true
garlic;450;true
enoki;420;true
oyster;865;true
boards;1300;true
planks;1941;true
woodbeam;2912;true
prefabwall;4950;true
flour;690;true
riceflour;910;true
bread;1650;true
cake;3300;true
milk_bottled;580;true
goatmilk_bottled;2110;true
buffalomilk_bottled;2490;true
butter;1120;true
cheese;1800;true
buffalomozzarella;7500;true
goatcheese;1760;true
chocolate;2000;true
potatochips;1500;true
ricerolls;1550;true
fermentednapacabbage;650;true
preservedcarrots;580;true
preservedparsnip;578;true
preservedbeetroot;560;true
noodlesoup;1550;true
soupcansmixed;940;true
soupcanscarrots;885;true
soupcansparsnip;880;true
soupcansbeetroot;845;true
soupcanspotato;1245;true
fabric;4000;true
clothes;8500;true
sugar;500;true
cereal;3800;true
furniture;1950;true
cartonroll;2900;true
paperroll;3200;true
piano;;
wagon;;
toytractor;;
sunflower_oil;1780;true
canola_oil;1640;true
olive_oil;2440;true
rice_oil;1780;true
raisins;1630;true
grapejuice;1650;true
cement;1050;true
barrel;1780;true
bathtub;1710;true
bucket;1290;true
roofplates;1580;true
rope;5050;true
canned_peas;2596;true
cementbricks;1580;true
spinach_bags;775;true
jarred_greenbean;1886;true
rice_bags;1464;true
rice_boxes;2730;true
seeds;900;true
stone;50;true
manure;33;true
liquidmanure;33;true
digestate;33;true
forage;124;true
forage_mixing;39;
water;100;
chaff;42;
treesaplings;100;
tree;100;
oilseedradish;250;
poplar;40;
diesel;1500;true
def;900;
electriccharge;350;
methane;450;
bale_wrap;1000;
bale_net;1000;
bale_twine;1000;
ricesaplings;3330;true
fertilizer;1600;true
liquidfertilizer;1200;true
pigfood;1400;
lime;225;true
herbicide;1200;true
silage_additive;1200;
mineral_feed;1200;
goat;;
