name;price;cycles/d;run costs/d;input;amount/c;storage;cost/d;product;amount/c;storage;income/d;total income/d;profit/d;profit ratio/d;total profit/d;total profit ratio/d
%s (%s);150000;24;48;wood;208;50000;4992;boards;205;50000;6396;23182;1817;0.36;8062;0.53
;;;;;;;;woodchips;60;90000;461;;;;;
;;24;48;wood;208;50000;4992;planks;138;33000;6429;;1850;0.37;;
;;;;;;;;woodchips;60;90000;461;;;;;
;;24;48;wood;208;50000;4992;woodbeam;125;22000;8736;;4395;0.87;;
;;;;;;;;woodchips;91;90000;699;;;;;
bakery;150000;120;60;flour;90;110000;7452;bread;45;55000;8910;19126;1398;0.19;5029;0.36
;;48;72;riceflour;68;82000;2970;bread;45;55000;3564;;522;0.17;;
;;48;60;flour;8;110000;265;cake;21;10000;3326;;1553;0.88;;
;;;;sugar;8;5000;192;;;;;;;;;
;;;;milk_bottled;8;5000;223;;;;;;;;;
;;;;egg;8;5000;430;;;;;;;;;
;;;;butter;8;5000;430;;;;;;;;;
;;;;strawberry;8;5000;173;;;;;;;;;
;;48;60;riceflour;6;82000;262;cake;21;10000;3326;;1556;0.88;;
;;;;sugar;8;5000;192;;;;;;;;;
;;;;milk_bottled;8;5000;223;;;;;;;;;
;;;;egg;8;5000;430;;;;;;;;;
;;;;butter;8;5000;430;;;;;;;;;
;;;;strawberry;8;5000;173;;;;;;;;;
bakery;36000;120;60;flour;9;11000;745;bread;4.5;5500;891;1913;86;0.11;279;0.17
;;48;72;riceflour;6.8;8200;297;bread;4.5;5500;356;;-13;-0.04;;
;;4.8;60;flour;8;11000;26;cake;21;1500;333;;103;0.45;;
;;;;sugar;8;1500;19;;;;;;;;;
;;;;milk_bottled;8;1500;22;;;;;;;;;
;;;;egg;8;1500;43;;;;;;;;;
;;;;butter;8;1500;43;;;;;;;;;
;;;;strawberry;8;1500;17;;;;;;;;;
;;4.8;60;riceflour;6;8200;26;cake;21;1500;333;;103;0.45;;
;;;;sugar;8;1500;19;;;;;;;;;
;;;;milk_bottled;8;1500;22;;;;;;;;;
;;;;egg;8;1500;43;;;;;;;;;
;;;;butter;8;1500;43;;;;;;;;;
;;;;strawberry;8;1500;17;;;;;;;;;
bga1mw;1500000;24;606;silage;8484;410000;24638;electriccharge;85;0;714;98478;36489;1.45;62835;1.76
;;;;;;;;methane;5090;0;54972;;;;;
;;;;;;;;digestate;7635;1800000;6047;;;;;
;;24;606;liquidmanure;2020;100000;1600;electriccharge;20;0;168;;12492;5.66;;
;;;;;;;;methane;1212;0;13090;;;;;
;;;;;;;;digestate;1818;1800000;1440;;;;;
;;24;606;manure;2020;100000;1600;electriccharge;20;0;168;;12492;5.66;;
;;;;;;;;methane;1212;0;13090;;;;;
;;;;;;;;digestate;1818;1800000;1440;;;;;
;;24;606;sugarbeet_cut;1010;50000;5381;electriccharge;10;0;84;;1362;0.23;;
;;;;;;;;methane;606;0;6545;;;;;
;;;;;;;;digestate;909;1800000;720;;;;;
bga250kw;875000;24;151.2;silage;2120;102000;6156;electriccharge;1273;0;10693;19561;5921;0.94;10652;1.2
;;;;;;;;methane;2;0;22;;;;;
;;;;;;;;digestate;1910;460000;1513;;;;;
;;24;151.2;liquidmanure;505;24000;400;electriccharge;303;0;2545;;2376;4.31;;
;;;;;;;;methane;2;0;22;;;;;
;;;;;;;;digestate;455;460000;360;;;;;
;;24;151.2;manure;505;24000;400;electriccharge;303;0;2545;;2376;4.31;;
;;;;;;;;methane;2;0;22;;;;;
;;;;;;;;digestate;455;460000;360;;;;;
;;24;151.2;sugarbeet_cut;253;12000;1348;electriccharge;152;0;1277;;-20;-0.01;;
;;;;;;;;methane;2;0;22;;;;;
;;;;;;;;digestate;227;460000;180;;;;;
bga500kw;1180000;24;302.4;silage;4243;204000;12322;electriccharge;2545;0;21378;40746;12233;0.97;22923;1.29
;;;;;;;;methane;42;0;454;;;;;
;;;;;;;;digestate;3820;916000;3025;;;;;
